class	motif	id	enr	q	tp	fp
Transient Increasing	ZNF354A	MA1978.2	1.08	8.13e-37	6254	13809
Transient Increasing	DMRTC2	MA1479.2	1.13	8.15e-37	5262	11152
Transient Increasing	FOXC1	MA0032.2	1.08	3.86e-35	6157	13568
Transient Increasing	TBP	MA0108.3	1.09	4.72e-35	5989	13108
Transient Increasing	ATF2	MA1632.2	1.3	1.01e-34	2435	4461
Transient Increasing	Pou5f1::Sox2	MA0142.1	1.1	1.95e-34	5839	12715
Transient Increasing	FOXC2	MA0846.2	1.08	1.15e-33	6187	13679
Transient Increasing	FOXD1	MA0031.2	1.08	1.31e-33	6188	13683
Transient Increasing	FOSL2::JUN	MA1131.2	1.21	2.72e-33	3559	7056
Transient Increasing	POU3F2	MA0787.1	1.12	6.97e-33	5281	11286
Transient Increasing	Foxl2	MA1607.2	1.05	3.16e-32	6730	15279
Transient Increasing	POU3F3	MA0788.1	1.1	3.16e-32	5629	12204
Transient Increasing	NFIL3	MA0025.3	1.06	5.87e-32	6579	14829
Transient Increasing	EN1	MA0027.3	1.09	6.17e-32	5976	13135
Transient Increasing	BARX2	MA1471.2	1.09	7.29e-32	5915	12972
Transient Increasing	Nkx3-2	MA0122.4	1.13	7.29e-32	4868	10263
Transient Increasing	SREBF2	MA0596.1	1.19	1.18e-31	3787	7633
Transient Increasing	TBX20	MA0689.1	2.61	1.21e-31	315	288
Transient Increasing	FOSL2::JUND	MA1145.2	1.2	1.27e-31	3527	7020
Transient Increasing	POU6F1	MA0628.2	1.12	1.73e-31	5189	11083
Transient Increasing	SATB1	MA1963.2	1.09	6.26e-31	5908	12973
Transient Increasing	FOS::JUN	MA1126.2	1.13	8.9e-31	4818	10164
Transient Increasing	ATF4	MA0833.3	1.2	1.09e-30	3448	6857
Transient Increasing	SRY	MA0084.2	1.06	1.35e-30	6588	14879
Transient Increasing	HOXB3	MA0903.2	1.11	1.91e-30	5420	11700
Transient Increasing	Foxf1	MA1606.2	1.06	3.05e-30	6573	14841
Transient Increasing	FOXK2	MA1103.3	1.07	3.17e-30	6416	14388
Transient Increasing	GSX1	MA0892.2	1.11	4.39e-30	5414	11693
Transient Increasing	VAX1	MA0722.2	1.1	5.2e-30	5674	12372
Transient Increasing	HMBOX1	MA0895.2	1.11	6.36e-30	5247	11268
Transient Increasing	RAX	MA0718.2	1.1	8.3e-30	5692	12424
Transient Increasing	TCF7L2	MA0523.2	1.1	1.65e-29	5550	12059
Transient Increasing	POU5F1B	MA0792.1	1.05	2.86e-29	6654	15097
Transient Increasing	ETV1	MA0761.3	1.25	3.4e-29	2694	5158
Transient Increasing	POU6F1	MA1549.2	1.06	5.57e-29	6465	14551
Transient Increasing	CREB1	MA0018.5	1.12	6.05e-29	4939	10512
Transient Increasing	HOXA5	MA0158.2	1.19	1.87e-28	3420	6846
Transient Increasing	FOSL2::JUNB	MA1139.2	1.27	2.32e-28	2369	4448
Transient Increasing	FOXD3	MA0041.3	1.07	2.83e-28	6364	14278
Transient Increasing	FOSB::JUN	MA1127.1	1.11	3.81e-28	5346	11564
Transient Increasing	Spi1	MA0080.7	1.35	5.33e-28	1756	3117
Transient Increasing	EVX2	MA0888.2	1.1	1.02e-27	5493	11953
Transient Increasing	PHOX2B	MA0681.3	1.13	1.02e-27	4744	10056
Transient Increasing	Arid3a	MA0151.1	1.08	1.31e-27	5889	12995
Transient Increasing	EVX1	MA0887.2	1.1	1.84e-27	5501	11980
Transient Increasing	FOXI1	MA0042.2	1.08	9.99e-27	5802	12784
Transient Increasing	HOXA7	MA1498.3	1.09	1.35e-26	5647	12380
Transient Increasing	PHOX2A	MA0713.1	1.12	1.5e-26	4911	10502
Transient Increasing	ESX1	MA0644.3	1.09	1.95e-26	5517	12046
Transient Increasing	FOXA2	MA0047.4	1.05	4.09e-26	6722	15353
Transient Increasing	POU2F1	MA0785.2	1.11	5.74e-26	5207	11263
Transient Increasing	BARHL2	MA0635.2	1.05	6.31e-26	6614	15037
Transient Increasing	PBX3	MA1114.2	1.17	1.06e-25	3715	7612
Transient Increasing	FOXA1	MA0148.5	1.06	1.22e-25	6310	14180
Transient Increasing	POU2F3	MA0627.3	1.08	2.04e-25	5766	12720
Transient Increasing	Shox2	MA0720.2	1.11	2.19e-25	5067	10924
Transient Increasing	ZNF175	MA2332.1	1.19	2.5e-25	3214	6445
Transient Increasing	HOXA10	MA0899.2	1.05	3.13e-25	6600	15009
Transient Increasing	Erg	MA0474.4	1.18	3.31e-25	3384	6845
Transient Increasing	ISL2	MA0914.2	1.04	3.66e-25	6811	15639
Transient Increasing	VSX2	MA0726.2	1.07	9.1e-25	6089	13595
Transient Increasing	HOXB13	MA0901.3	1.08	9.8e-25	5921	13146
Transient Increasing	POU6F2	MA0793.2	1.08	1.28e-24	5877	13032
Transient Increasing	CEBPA	MA0102.5	1.16	1.36e-24	3728	7673
Transient Increasing	GABPA	MA0062.4	1.15	1.65e-24	3942	8186
Transient Increasing	POU3F4	MA0789.1	1.1	3.38e-24	5186	11256
Transient Increasing	JUN::JUNB	MA1133.2	1.1	7.86e-24	5183	11258
Transient Increasing	GATA2	MA0036.4	1.08	1.04e-23	5821	12906
Transient Increasing	ELF1	MA0473.4	1.32	1.1e-23	1698	3080
Transient Increasing	TCF7	MA0769.3	1.07	1.63e-23	6034	13476
Transient Increasing	FOXE1	MA1487.3	1.12	1.63e-23	4515	9603
Transient Increasing	Dmrt1	MA1603.2	1.06	2.36e-23	6423	14542
Transient Increasing	FOXS1	MA2118.1	1.04	2.86e-23	6835	15743
