feature_id	Naive_WT_REP1	Naive_WT_REP2	D3_WT_REP1	D3_WT_REP2	D5_WT_REP1	D5_WT_REP2	D8_WT_TE_Exp2_REP1	D8_WT_TE_Exp2_REP2	D8_WT_TE_Exp2_REP3
Interval_12396	3	7	172	127	304	320	96	122	103
Interval_12417	18	21	40	19	242	276	226	256	287
Interval_12421	6	16	24	10	66	43	65	44	68
Interval_12428	75	80	23	13	46	55	39	43	41
Interval_12458	25	32	42	38	14	11	1	2	2
Interval_12466	4	2	56	25	28	15	2	1	5
Interval_12476	2	4	5	4	69	73	30	34	29
Interval_12496	38	70	20	9	22	31	16	17	16
Interval_12556	5	6	36	28	28	28	14	9	20
Interval_12590	5	5	37	23	39	27	11	12	12
Interval_12594	443	590	210	129	645	633	321	363	471
Interval_12601	0	7	90	42	23	23	21	15	10
Interval_12612	249	277	264	198	717	731	300	284	376
Interval_12680	1	1	1	2	1	1	0	1	3
Interval_12686	9	18	7	7	12	13	6	14	9
Interval_12694	409	622	191	108	397	402	220	224	254
Interval_12710	151	158	333	229	610	596	88	120	141
Interval_12730	152	197	56	32	175	156	53	83	83
Interval_12732	46	69	23	8	35	33	17	28	25
Interval_12746	9	32	13	10	9	12	1	2	4
Interval_12759	19	45	19	8	18	29	6	11	16
Interval_12778	144	173	77	65	146	112	60	62	94
Interval_12779	920	1090	274	183	822	787	348	364	503
Interval_12862	8	26	13	7	28	26	23	28	27
Interval_12872	12	20	10	3	12	14	10	5	14
Interval_12894	14	18	7	4	7	15	6	13	11
Interval_12922	285	469	125	75	225	216	120	127	180
Interval_12948	535	766	297	188	654	668	240	261	453
Interval_12977	9	6	5	5	8	8	1	1	3
Interval_12989	144	162	171	102	156	132	25	22	29
Interval_13006	10	19	3	4	17	15	12	14	11
Interval_13025	134	225	108	62	174	196	74	92	105
Interval_13128	201	302	85	61	235	223	113	90	156
Interval_13129	1449	1697	509	362	1405	1443	783	895	1201
Interval_13144	49	55	27	23	54	64	25	35	37
Interval_13154	663	960	313	194	499	567	333	385	518
Interval_13176	62	88	75	44	56	56	4	7	14
Interval_13242	1377	1698	518	317	1359	1384	752	773	1144
Interval_13252	2047	2329	751	487	2097	1967	1149	1221	1602
Interval_13254	6	6	39	31	1	1	1	2	4
Interval_13259	71	122	31	13	57	67	35	32	31
Interval_13297	13	23	9	7	25	17	2	2	2
Interval_13302	9	16	10	7	36	32	20	12	24
Interval_13310	3	3	17	8	5	5	0	0	1
Interval_13313	177	241	85	56	150	137	81	67	77
Interval_13339	14	45	21	6	15	17	18	9	10
Interval_13366	87	127	49	16	87	80	65	60	78
Interval_13402	89	130	35	32	95	95	42	37	49
Interval_13435	106	163	67	38	124	135	64	82	90
Interval_13447	14	28	120	85	47	34	6	2	5
Interval_13504	33	58	24	15	37	43	34	36	44
Interval_13522	145	219	63	25	103	124	53	65	84
Interval_13537	602	758	208	142	552	562	275	322	417
Interval_13561	85	108	23	17	124	150	199	248	333
Interval_13573	2	11	7	4	5	10	8	4	4
Interval_13587	95	120	7	4	8	9	3	2	0
Interval_13644	3	7	110	39	160	170	59	61	43
Interval_13645	17	27	231	115	221	220	91	102	66
Interval_13670	13	17	91	69	99	55	8	12	6
Interval_13701	281	308	5	4	71	62	96	105	120
Interval_13705	171	229	19	11	220	241	187	249	261
Interval_13783	2	0	4	0	5	0	0	0	0
Interval_13791	79	95	1	1	3	2	1	0	1
Interval_13806	1	3	35	31	106	65	6	4	16
Interval_13811	17	25	141	106	409	367	229	218	316
Interval_13835	2	4	14	5	29	25	48	66	61
Interval_13926	12	23	15	7	6	11	0	2	0
Interval_13938	190	244	74	59	132	171	90	92	122
Interval_13982	39	47	128	89	126	112	18	12	21
Interval_13995	3	5	13	6	7	18	2	2	2
Interval_14055	12	17	7	6	19	11	1	2	8
Interval_14093	1	2	37	22	16	29	13	10	8
Interval_14100	3	4	0	5	19	13	46	40	36
Interval_14115	6	17	9	2	47	25	84	74	67
Interval_14166	1	4	91	65	72	48	14	28	20
Interval_14178	12	15	142	86	46	49	7	12	15
Interval_14180	10	8	33	17	213	185	121	136	159
Interval_14196	14	18	12	3	3	4	5	6	3
Interval_14200	4	7	4	3	6	2	3	4	2
Interval_14220	28	47	509	319	632	659	222	290	380
Interval_14235	17	31	5	5	8	12	9	9	20
Interval_14259	59	66	20	7	32	35	27	19	32
